127.0.0.1 - - [20/Apr/2022:09:17:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:17:49 +0900] "GET /studyhtml5/ch6/html01_output.html HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:17:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:18:27 +0900] "GET /studyhtml5/ch6/html01_output.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:20:14 +0900] "GET /studyhtml5/ch6/html01_output.html HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:37:48 +0900] "GET /studyhtml5/ch6/html02_audio.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:37:48 +0900] "GET /studyhtml5/ch6/play4.mp3 HTTP/1.1" 206 139212
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:38:06 +0900] "GET /studyhtml5/ch6/html02_audio.html HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:47:58 +0900] "GET /studyhtml5/ch6/html03_video.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:47:58 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 1965631
0:0:0:0:0:0:0:1 - - [20/Apr/2022:09:48:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:14 +0900] "GET /studyhtml5/ch6/html04_embed.html HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:14 +0900] "GET /studyhtml5/ch6/studyhtml5/imgs/img02.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:14 +0900] "GET /studyhtml5/ch6/html02_audio.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:14 +0900] "GET /studyhtml5/ch6/play4.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:36 +0900] "GET /studyhtml5/ch6/html04_embed.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:06:36 +0900] "GET /studyhtml5/ch6/studyhtml5/imgs/img02.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:25 +0900] "GET /studyhtml5/ch6/html04_embed.html HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:25 +0900] "GET /studyhtml5/ch6/studyhtml5/imgs/img02.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:25 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 200 1965631
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:26 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:46 +0900] "GET /studyhtml5/ch6/html04_embed.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:46 +0900] "GET /studyhtml5/ch6/studyhtml5/imgs/img02.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:46 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:07:46 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 523839
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:08:27 +0900] "GET /studyhtml5/ch6/html04_embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:08:27 +0900] "GET /studyhtml5/ch6/studyhtml5/imgs/img02.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:08:27 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:08:27 +0900] "GET /studyhtml5/ch6/sea.mp4 HTTP/1.1" 206 523839
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:12 +0900] "GET /studyhtml5/ch6/html05_object.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:12 +0900] "GET /studyhtml5/imgs/img01.png HTTP/1.1" 200 640336
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:12 +0900] "GET /studyhtml5/ch6/html02_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:10:12:12 +0900] "GET /studyhtml5/ch6/play4.mp3 HTTP/1.1" 304 -
