127.0.0.1 - - [02/May/2022:09:19:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/May/2022:09:19:40 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [02/May/2022:09:19:40 +0900] "GET /studyhtml5/js/j04/j01.js HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [02/May/2022:09:19:40 +0900] "GET /studyhtml5/asset/js/basic.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:09:22:12 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:09:22:12 +0900] "GET /studyhtml5/js/j04/j01.js HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [02/May/2022:09:22:12 +0900] "GET /studyhtml5/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [02/May/2022:09:45:00 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [02/May/2022:09:45:00 +0900] "GET /studyhtml5/js/j04/j02.js HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [02/May/2022:10:15:38 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [02/May/2022:10:15:38 +0900] "GET /studyhtml5/js/j04/j03.js HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [02/May/2022:10:16:07 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:16:07 +0900] "GET /studyhtml5/js/j04/j03.js HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [02/May/2022:10:17:58 +0900] "GET /studyhtml5/js/j04/javascript01.html HTTP/1.1" 304 -
